Id,plot_Id,D01_curr_plot,D02_total_plot,D03_unit_land,D03_unit_land_other,D04_crops_harvsted,D04_crops_harvsted_other,D_crops_count
1,1,1.0,0.5,hactare,,['maize'],,1
1,2,2.0,0.5,hactare,,['maize'],,1
2,1,3.0,1.0,hactare,,['maize'],,1
2,2,2.0,1.5,hactare,,['tomatoes'],,1
2,3,3.0,1.0,hactare,,['vegetable'],,1
3,1,1.0,1.0,hactare,,['maize'],,1
4,1,1.0,1.0,hactare,,['maize'],,1
4,2,2.0,1.0,hactare,,['maize'],,1
4,3,3.0,1.0,hactare,,['sorghum'],,1
5,1,1.0,1.5,hactare,,['maize'],,1
5,2,2.0,0.5,hactare,,['maize'],,1
6,1,1.0,1.5,hactare,,['maize'],,1
7,1,1.0,2.0,hactare,,['maize'],,1
7,2,2.0,1.0,hactare,,['tomatoes'],,1
7,3,3.0,1.0,hactare,,['beans'],,1
7,4,4.0,1.0,hactare,,['vegetable'],,1
8,1,1.0,1.0,hactare,,['maize'],,1
8,2,2.0,2.0,hactare,,['maize'],,1
9,1,1.0,1.5,hactare,,['maize'],,1
9,2,2.0,1.0,hactare,,['tomatoes'],,1
9,3,3.0,1.0,hactare,,['vegetable'],,1
10,1,1.0,3.0,hactare,,['maize'],,1
10,2,2.0,1.5,hactare,,['tomatoes'],,1
11,1,1.0,1.0,hactare,,['maize'],,1
11,2,2.0,1.0,hactare,,['maize'],,1
12,1,2.0,3.5,hactare,,['maize'],,1
12,2,2.0,1.5,hactare,,['tomatoes'],,1
13,1,1.0,12.0,hactare,,['maize'],,1
13,2,2.0,1.0,hactare,,['beans'],,1
13,3,3.0,1.0,hactare,,['vegetable'],,1
13,4,4.0,1.0,hactare,,['onion'],,1
14,1,1.0,1.0,hactare,,['maize'],,1
14,2,2.0,1.0,hactare,,['maize'],,1
14,3,3.0,1.0,hactare,,['maize'],,1
15,1,1.0,15.0,hactare,,['maize'],,1
15,2,2.0,1.0,hactare,,['beans'],,1
15,3,3.0,0.5,hactare,,['ngogwe'],,1
16,1,1.0,3.5,hactare,,['maize'],,1
17,1,3.0,1.0,hactare,,['maize'],,1
17,2,2.0,0.3,hactare,,['vegetable'],,1
17,3,3.0,0.3,hactare,,['other'],Inhame,1
18,1,1.0,1.0,hactare,,['maize'],,1
18,2,2.0,0.5,hactare,,['pigeonpeas'],,1
19,1,1.0,5.5,hactare,,['maize'],,1
19,2,2.0,1.0,hactare,,['beans'],,1
20,1,1.0,1.5,hactare,,['maize'],,1
20,2,2.0,0.5,hactare,,['beans'],,1
21,1,1.0,1.0,hactare,,['maize'],,1
21,2,2.0,1.0,hactare,,['vegetable'],,1
21,3,3.0,1.0,hactare,,['tomatoes'],,1
21,4,4.0,1.0,hactare,,['cabbage'],,1
22,1,1.0,3.0,hactare,,['maize'],,1
23,1,1.0,10.0,hactare,,['maize'],,1
23,2,2.0,1.0,hactare,,['amendoim'],,1
24,1,1.0,2.0,hactare,,['maize'],,1
24,2,2.0,2.0,hactare,,['tomatoes'],,1
24,3,3.0,0.5,hactare,,['peanut'],,1
25,1,1.0,6.0,hactare,,['maize'],,1
25,2,2.0,1.0,hactare,,['tomatoes'],,1
25,3,3.0,1.0,hactare,,['cabbage'],,1
26,1,1.0,5.0,hactare,,['maize'],,1
26,2,2.0,1.0,hactare,,['beans'],,1
27,1,1.0,4.0,hactare,,['maize'],,1
27,2,2.0,1.0,hactare,,['beans'],,1
28,1,1.0,1.0,hactare,,['maize'],,1
28,2,2.0,0.5,hactare,,['tomatoes'],,1
28,3,3.0,0.5,hactare,,['vegetable'],,1
29,1,1.0,1.5,hactare,,['maize'],,1
29,2,2.0,0.2,hactare,,['tomatoes'],,1
29,3,3.0,0.5,hactare,,['beans'],,1
30,1,1.0,5.0,hactare,,['maize'],,1
31,1,1.0,1.0,hactare,,['maize'],,1
32,1,1.0,10.0,hactare,,['maize'],,1
32,2,2.0,3.0,hactare,,['sorghum'],,1
32,3,3.0,0.5,hactare,,['sunflower'],,1
32,4,4.0,1.0,hactare,,['peanut'],,1
32,5,5.0,0.5,hactare,,['tomatoes'],,1
32,6,6.0,0.3,hactare,,['onion'],,1
32,7,7.0,0.2,hactare,,['cabbage'],,1
32,8,8.0,0.5,hactare,,['vegetable'],,1
33,1,1.0,4.0,hactare,,['maize'],,1
33,2,2.0,2.0,hactare,,['tomatoes'],,1
34,1,1.0,1.0,hactare,,['tomatoes'],,1
34,2,2.0,1.5,hactare,,['maize'],,1
35,1,1.0,1.0,hactare,,['tomatoes'],,1
35,2,2.0,4.0,hactare,,['maize'],,1
36,1,1.0,1.0,hactare,,['maize'],,1
36,2,2.0,2.0,hactare,,['tomatoes'],,1
36,3,3.0,1.0,hactare,,['vegetable'],,1
37,1,1.0,1.0,hactare,,['maize'],,1
38,1,1.0,0.5,hactare,,['maize'],,1
38,2,2.0,1.0,hactare,,['tomatoes'],,1
39,1,1.0,7.0,hactare,,['maize'],,1
40,1,1.0,4.0,hactare,,['maize'],,1
40,2,2.0,2.0,hactare,,['tomatoes'],,1
41,1,1.0,5.0,hactare,,['maize'],,1
42,1,1.0,0.5,hactare,,['maize'],,1
42,2,2.0,0.5,hactare,,['other'],Murango,1
43,1,1.0,5.0,hactare,,['maize'],,1
43,2,2.0,1.0,hactare,,['amendoim'],,1
43,3,3.0,1.0,hactare,,['vegetable'],,1
43,4,4.0,1.0,hactare,,"['tomatoes', 'peanut']",,2
44,1,1.0,1.5,hactare,,['maize'],,1
45,1,1.0,1.5,hactare,,['maize'],,1
45,2,2.0,1.0,hactare,,['tomatoes'],,1
45,3,3.0,1.0,hactare,,['beans'],,1
46,1,1.0,2.0,hactare,,['maize'],,1
46,2,2.0,2.0,hactare,,['tomatoes'],,1
46,3,3.0,1.0,hactare,,['vegetable'],,1
46,4,4.0,1.0,hactare,,['onion'],,1
46,5,5.0,0.5,hactare,,['beans'],,1
47,1,1.0,2.5,hactare,,['maize'],,1
47,2,2.0,0.5,hactare,,['tomatoes'],,1
48,1,1.0,3.5,hactare,,"['maize', 'sorghum']",,2
49,1,1.0,3.0,hactare,,"['maize', 'sorghum']",,2
50,1,1.0,0.5,hactare,,"['maize', 'tomatoes', 'piri_piri']",,3
51,1,1.0,1.0,hactare,,['maize'],,1
52,1,1.0,2.0,hactare,,['maize'],,1
53,1,1.0,5.0,hactare,,['maize'],,1
53,2,2.0,1.0,hactare,,"['beans', 'tomatoes', 'cabbage', 'vegetable']",,4
53,3,1.0,1.0,hactare,,['maize'],,1
54,1,1.0,1.0,hactare,,"['maize', 'tomatoes']",,2
55,1,4.0,9.0,hactare,,['maize'],,1
56,1,1.0,5.5,hactare,,['maize'],,1
56,2,2.0,1.0,hactare,,['tomatoes'],,1
57,1,1.0,1.0,hactare,,['maize'],,1
57,2,2.0,0.5,hactare,,['other'],Inhame,1
58,1,1.0,3.0,hactare,,['beans'],,1
58,2,2.0,0.5,hactare,,['other'],Inhame,1
58,3,3.0,10.0,hactare,,['maize'],,1
59,1,1.0,0.5,hactare,,"['maize', 'other']",Inhame,2
59,2,2.0,1.0,hactare,,['maize'],,1
60,1,1.0,2.0,hactare,,['maize'],,1
60,2,2.0,1.0,hactare,,['tomatoes'],,1
60,3,3.0,1.0,hactare,,['peanut'],,1
61,1,1.0,2.0,hactare,,"['tomatoes', 'onion', 'cabbage', 'vegetable', 'piri_piri']",,5
61,2,2.0,6.0,hactare,,['maize'],,1
62,1,1.0,0.5,hactare,,['maize'],,1
62,2,2.0,0.5,hactare,,['sorghum'],,1
63,1,1.0,1.5,hactare,,"['maize', 'sesame']",,2
64,1,1.0,2.0,hactare,,['maize'],,1
64,2,2.0,0.5,hactare,,['sesame'],,1
65,1,1.0,2.0,hactare,,['maize'],,1
65,2,2.0,1.0,hactare,,['tomatoes'],,1
66,1,1.0,8.0,hactare,,"['beans', 'tomatoes', 'onion', 'vegetable']",,4
67,1,1.0,6.0,hactare,,"['maize', 'tomatoes', 'vegetable']",,3
68,1,1.0,1.5,hactare,,['maize'],,1
68,2,2.0,1.5,hactare,,['piri_piri'],,1
68,3,3.0,2.0,hactare,,['maize'],,1
69,1,1.0,3.0,hactare,,"['maize', 'tomatoes']",,2
70,1,1.0,8.0,hactare,,['maize'],,1
70,2,2.0,14.0,hactare,,['maize'],,1
70,3,3.0,0.2,hactare,,['maize'],,1
71,1,1.0,4.0,hactare,,['maize'],,1
71,2,2.0,4.0,hactare,,['tomatoes'],,1
72,1,1.0,1.0,hactare,,['maize'],,1
73,1,1.0,8.0,hactare,,"['maize', 'vegetable', 'peanut']",,3
74,1,1.0,12.0,hactare,,"['maize', 'sorghum']",,2
74,2,2.0,2.0,hactare,,"['beans', 'tomatoes', 'vegetable']",,3
75,1,1.0,1.0,hactare,,['maize'],,1
76,1,1.0,2.0,hactare,,['maize'],,1
76,2,2.0,1.0,hactare,,['other'],Ananßs,1
77,1,3.0,4.0,hactare,,['maize'],,1
77,2,2.0,1.0,hactare,,"['beans', 'vegetable']",,2
77,3,3.0,2.0,hactare,,['maize'],,1
78,1,1.0,2.5,hactare,,"['tomatoes', 'onion', 'vegetable']",,3
78,2,2.0,4.8,hactare,,['maize'],,1
79,1,1.0,6.0,hactare,,"['maize', 'sorghum']",,2
79,2,2.0,1.0,hactare,,['tomatoes'],,1
80,1,1.0,3.0,hactare,,"['maize', 'tomatoes', 'vegetable']",,3
81,1,1.0,5.0,hactare,,"['maize', 'beans', 'bananas', 'tomatoes', 'vegetable']",,5
82,1,1.0,2.0,hactare,,"['maize', 'beans', 'tomatoes', 'vegetable']",,4
83,1,1.0,3.0,hactare,,"['beans', 'tomatoes', 'vegetable']",,3
83,2,1.0,2.0,hactare,,['maize'],,1
84,1,1.0,2.0,hactare,,['maize'],,1
84,2,2.0,0.5,hactare,,['tomatoes'],,1
84,3,3.0,1.0,hactare,,['beans'],,1
85,1,1.0,6.0,hactare,,['maize'],,1
85,2,2.0,1.5,hactare,,"['tomatoes', 'vegetable']",,2
86,1,1.0,6.5,hactare,,['maize'],,1
86,2,,3.0,hactare,,"['beans', 'tomatoes', 'vegetable']",,3
87,1,1.0,2.0,hactare,,['maize'],,1
87,2,2.0,1.0,hactare,,['other'],Madumbe,1
88,1,1.0,6.0,hactare,,['maize'],,1
88,2,2.0,2.0,hactare,,['maize'],,1
89,1,1.0,3.0,hactare,,['maize'],,1
89,2,3.0,0.5,hactare,,['tomatoes'],,1
90,1,1.0,2.0,hactare,,['maize'],,1
90,2,2.0,3.0,hactare,,['maize'],,1
90,3,3.0,1.5,hactare,,['tomatoes'],,1
91,1,1.0,0.5,hactare,,['tomatoes'],,1
91,2,2.0,3.0,hactare,,['maize'],,1
91,3,3.0,0.5,hactare,,['beans'],,1
92,1,1.0,6.0,hactare,,['maize'],,1
92,2,2.0,6.0,hactare,,['sorghum'],,1
92,3,3.0,6.0,hactare,,['peanut'],,1
92,4,4.0,3.0,hactare,,['cabbage'],,1
92,5,5.0,3.0,hactare,,['tomatoes'],,1
92,6,6.0,3.0,hactare,,['vegetable'],,1
93,1,1.0,5.0,hactare,,['maize'],,1
93,2,2.0,0.5,hactare,,"['maize', 'other']",Inhame,2
94,1,1.0,1.0,hactare,,['maize'],,1
94,2,2.0,1.5,hactare,,['beans'],,1
94,3,,3.0,hactare,,['tomatoes'],,1
95,1,1.0,1.5,hactare,,['maize'],,1
95,2,2.0,3.0,hactare,,"['maize', 'beans', 'vegetable', 'other']",Inhame,4
96,1,1.0,4.0,hactare,,['maize'],,1
96,2,2.0,3.0,hactare,,"['beans', 'tomatoes']",,2
97,1,2.0,12.5,hactare,,"['maize', 'sorghum']",,2
97,2,2.0,1.0,hactare,,"['beans', 'bananas', 'vegetable', 'other']",Inhame,4
98,1,1.0,5.0,hactare,,['maize'],,1
98,2,2.0,2.0,hactare,,"['tomatoes', 'onion']",,2
99,1,1.0,12.0,hactare,,['maize'],,1
99,2,2.0,1.0,hactare,,"['maize', 'beans', 'tomatoes', 'onion']",,4
100,1,1.0,3.0,hactare,,"['maize', 'sorghum', 'tomatoes', 'onion', 'vegetable']",,5
101,1,1.0,5.0,hactare,,"['maize', 'sorghum']",,2
101,2,2.0,2.0,hactare,,"['beans', 'tomatoes']",,2
101,3,3.0,0.5,hactare,,"['beans', 'tomatoes', 'vegetable']",,3
101,4,4.0,1.0,hactare,,"['tomatoes', 'baby_corn']",,2
102,1,1.0,3.0,hactare,,['maize'],,1
102,2,2.0,1.0,hactare,,"['tomatoes', 'vegetable']",,2
103,1,1.0,22.0,hactare,,['baby_corn'],,1
103,2,2.0,16.0,hactare,,['piri_piri'],,1
103,3,3.0,4.0,hactare,,['maize'],,1
103,4,4.0,1.0,hactare,,['cabbage'],,1
103,5,5.0,2.0,hactare,,['tomatoes'],,1
104,1,1.0,5.0,hactare,,['maize'],,1
104,2,2.0,0.5,hactare,,['pigeonpeas'],,1
104,3,3.0,6.0,hactare,,['sorghum'],,1
105,1,1.0,6.0,hactare,,['maize'],,1
105,2,2.0,5.0,hactare,,['maize'],,1
105,3,3.0,3.0,hactare,,['maize'],,1
106,1,1.0,1.0,hactare,,['maize'],,1
106,2,2.0,1.0,hactare,,"['beans', 'onion']",,2
106,3,3.0,0.5,hactare,,['other'],Inhame,1
107,1,1.0,3.0,hactare,,['maize'],,1
108,1,1.0,1.0,hactare,,['maize'],,1
108,2,2.0,0.5,hactare,,['beans'],,1
108,3,3.0,3.5,hactare,,"['tomatoes', 'onion', 'vegetable', 'cucumber']",,4
109,1,1.0,2.0,hactare,,"['maize', 'potatoes']",,2
109,2,2.0,0.5,hactare,,['maize'],,1
110,1,1.0,8.0,hactare,,['maize'],,1
110,2,2.0,3.0,hactare,,['maize'],,1
111,1,1.0,2.0,hactare,,"['maize', 'sorghum']",,2
111,2,2.0,2.0,hactare,,['maize'],,1
111,3,3.0,1.5,hactare,,['vegetable'],,1
112,1,1.0,5.0,hactare,,['maize'],,1
113,1,1.0,12.0,hactare,,['maize'],,1
114,1,1.0,6.0,hactare,,['maize'],,1
114,2,2.0,1.0,hactare,,['tomatoes'],,1
115,1,1.0,4.0,hactare,,['maize'],,1
115,2,2.0,4.0,hactare,,['maize'],,1
115,3,3.0,5.5,hactare,,"['beans', 'tomatoes', 'piri_piri']",,3
116,1,1.0,2.0,hactare,,['maize'],,1
116,2,2.0,0.5,hactare,,['other'],Inhame,1
117,1,1.0,2.5,hactare,,['maize'],,1
117,2,2.0,0.5,hactare,,['sorghum'],,1
118,1,1.0,2.0,hactare,,['maize'],,1
118,2,2.0,2.0,hactare,,['beans'],,1
118,3,3.0,1.5,hactare,,['tomatoes'],,1
119,1,1.0,1.0,hactare,,['maize'],,1
119,2,2.0,0.5,hactare,,['beans'],,1
120,1,1.0,0.5,hactare,,['tomatoes'],,1
120,2,2.0,1.0,hactare,,['maize'],,1
120,3,3.0,2.0,hactare,,['maize'],,1
121,1,1.0,1.5,hactare,,['maize'],,1
121,2,2.0,0.5,hactare,,['tomatoes'],,1
122,1,1.0,7.0,hactare,,['maize'],,1
122,2,2.0,3.0,hactare,,['tomatoes'],,1
122,3,3.0,1.0,hactare,,['tomatoes'],,1
123,1,1.0,2.0,hactare,,['maize'],,1
123,2,2.0,1.0,hactare,,"['tomatoes', 'vegetable']",,2
124,1,1.0,7.0,hactare,,['maize'],,1
124,2,2.0,3.0,hactare,,['piri_piri'],,1
124,3,3.0,3.0,hactare,,['baby_corn'],,1
125,1,1.0,1.0,hactare,,['tomatoes'],,1
125,2,2.0,5.0,hactare,,['maize'],,1
126,1,1.0,0.5,hactare,,['tomatoes'],,1
126,2,2.0,0.5,hactare,,['maize'],,1
126,3,3.0,0.5,hactare,,['baby_corn'],,1
127,1,1.0,4.5,hactare,,"['maize', 'beans', 'peanut']",,3
127,2,2.0,1.0,hactare,,['tomatoes'],,1
128,1,1.0,3.0,hactare,,['maize'],,1
128,2,2.0,2.5,hactare,,['tomatoes'],,1
128,3,3.0,0.5,hactare,,['cabbage'],,1
128,4,4.0,1.5,hactare,,['maize'],,1
129,1,1.0,5.0,hactare,,['maize'],,1
129,2,2.0,0.5,hactare,,['tomatoes'],,1
130,1,1.0,5.0,hactare,,['maize'],,1
130,2,2.0,1.0,hactare,,['vegetable'],,1
131,1,1.0,0.5,hactare,,['maize'],,1
131,2,2.0,4.5,hactare,,['maize'],,1
132,1,1.0,0.2,hactare,,"['peanut', 'manioc']",,2
132,2,2.0,0.1,hactare,,['beans'],,1
133,1,1.0,0.3,hactare,,['maize'],,1
133,2,2.0,0.3,hactare,,['pigeonpeas'],,1
133,3,3.0,0.3,hactare,,['manioc'],,1
134,1,1.0,1.0,hactare,,['maize'],,1
134,2,2.0,1.0,hactare,,['rice'],,1
134,3,3.0,1.0,hactare,,['sorghum'],,1
134,4,4.0,0.5,hactare,,"['tomatoes', 'onion', 'green_pepper']",,3
135,1,3.0,1.0,hactare,,['maize'],,1
135,2,2.0,0.5,hactare,,"['maize', 'sorghum']",,2
135,3,3.0,0.5,hactare,,['vegetable'],,1
136,1,1.0,1.0,hactare,,['rice'],,1
136,2,2.0,2.5,hactare,,['maize'],,1
136,3,3.0,2.5,hactare,,['sorghum'],,1
137,1,1.0,2.0,hactare,,"['maize', 'sorghum']",,2
137,2,2.0,1.0,hactare,,['rice'],,1
138,1,1.0,1.0,hactare,,['maize'],,1
138,2,2.0,0.5,hactare,,['sorghum'],,1
138,3,3.0,0.2,hactare,,['tomatoes'],,1
139,1,1.0,3.0,hactare,,"['maize', 'beans', 'sweetpotato', 'ngogwe', 'vegetable']",,5
140,1,1.0,1.0,hactare,,['maize'],,1
140,2,2.0,1.0,hactare,,['sorghum'],,1
140,3,3.0,0.5,hactare,,"['tomatoes', 'vegetable', 'piri_piri']",,3
141,1,1.0,1.0,hactare,,['rice'],,1
141,2,2.0,1.5,hactare,,['maize'],,1
141,3,3.0,0.5,hactare,,"['onion', 'vegetable']",,2
142,1,1.0,1.0,hactare,,['rice'],,1
142,2,2.0,1.5,hactare,,['maize'],,1
142,3,3.0,0.5,hactare,,"['onion', 'vegetable']",,2
142,4,4.0,0.5,hactare,,['beans'],,1
142,5,5.0,0.5,hactare,,['sesame'],,1
143,1,1.0,0.5,hactare,,['maize'],,1
143,2,2.0,1.0,hactare,,['rice'],,1
144,1,1.0,2.0,hactare,,"['maize', 'sorghum']",,2
144,2,3.0,0.5,hactare,,['tomatoes'],,1
145,1,1.0,1.5,hactare,,['maize'],,1
145,2,2.0,4.0,hactare,,"['maize', 'sorghum']",,2
146,1,1.0,3.0,hactare,,"['maize', 'sesame', 'piri_piri']",,3
146,2,2.0,0.5,hactare,,['rice'],,1
146,3,3.0,1.5,hactare,,['sorghum'],,1
147,1,1.0,3.0,hactare,,['maize'],,1
147,2,2.0,2.5,hactare,,['rice'],,1
147,3,3.0,1.0,hactare,,['sorghum'],,1
148,1,1.0,2.0,hactare,,"['maize', 'sorghum']",,2
148,2,3.0,1.0,hactare,,['rice'],,1
149,1,1.0,1.5,hactare,,['maize'],,1
149,2,2.0,1.0,hactare,,['maize'],,1
149,3,3.0,0.5,hactare,,['sorghum'],,1
149,4,4.0,1.0,hactare,,['sorghum'],,1
150,1,1.0,1.0,hactare,,['maize'],,1
150,2,2.0,0.5,hactare,,"['tomatoes', 'vegetable']",,2
151,1,1.0,1.0,hactare,,['maize'],,1
151,2,2.0,0.5,hactare,,['sorghum'],,1
151,3,3.0,0.5,hactare,,['rice'],,1
152,1,1.0,2.0,hactare,,['maize'],,1
152,2,2.0,1.0,hactare,,['rice'],,1
152,3,3.0,1.0,hactare,,"['tomatoes', 'onion', 'vegetable']",,3
152,4,4.0,1.0,hactare,,['sorghum'],,1
153,1,1.0,0.5,hactare,,['maize'],,1
153,2,2.0,2.0,hactare,,['sorghum'],,1
153,3,3.0,1.0,hactare,,['rice'],,1
154,1,1.0,1.0,hactare,,['maize'],,1
154,2,2.0,0.5,hactare,,['sorghum'],,1
154,3,3.0,0.5,hactare,,['sorghum'],,1
155,1,1.0,1.0,hactare,,['maize'],,1
155,2,2.0,1.5,hactare,,['maize'],,1
156,1,1.0,1.0,hactare,,['maize'],,1
156,2,2.0,1.0,hactare,,['rice'],,1
156,3,3.0,0.5,hactare,,['tomatoes'],,1
157,1,1.0,0.5,hactare,,['sesame'],,1
157,2,2.0,2.0,hactare,,['maize'],,1
157,3,3.0,1.0,hactare,,['sorghum'],,1
157,4,4.0,0.5,hactare,,"['tomatoes', 'vegetable']",,2
158,1,1.0,1.0,hactare,,['maize'],,1
158,2,2.0,1.0,hactare,,['rice'],,1
159,1,1.0,3.0,hactare,,"['maize', 'sorghum', 'cassava']",,3
160,1,1.0,1.0,hactare,,"['sorghum', 'rice']",,2
161,1,1.0,0.5,hactare,,['rice'],,1
161,2,2.0,1.0,hactare,,['sorghum'],,1
162,1,1.0,1.5,hactare,,"['maize', 'sorghum']",,2
162,2,2.0,0.5,hactare,,['rice'],,1
163,1,1.0,1.0,hactare,,['sorghum'],,1
163,2,2.0,0.5,hactare,,['rice'],,1
164,1,1.0,3.0,hactare,,"['maize', 'sorghum', 'rice']",,3
165,1,1.0,1.0,hactare,,"['maize', 'beans', 'sorghum', 'cassava']",,4
165,2,1.0,0.5,hactare,,['rice'],,1
166,1,1.0,1.0,hactare,,"['maize', 'sorghum']",,2
166,2,2.0,0.5,hactare,,['rice'],,1
167,1,1.0,3.0,hactare,,"['maize', 'sorghum', 'rice']",,3
168,1,1.0,4.0,hactare,,"['maize', 'beans', 'sorghum', 'cassava', 'peanut']",,5
168,2,2.0,0.5,hactare,,['rice'],,1
169,1,1.0,2.0,hactare,,"['maize', 'sorghum', 'rice']",,3
170,1,1.0,1.0,hactare,,['maize'],,1
170,2,2.0,1.0,hactare,,['sorghum'],,1
170,3,3.0,0.5,hactare,,['rice'],,1
171,1,1.0,1.0,hactare,,"['maize', 'sorghum']",,2
171,2,2.0,1.5,hactare,,"['maize', 'tomatoes']",,2
172,1,1.0,2.5,hactare,,"['maize', 'sorghum']",,2
172,2,2.0,1.5,hactare,,"['onion', 'vegetable']",,2
172,3,3.0,3.0,hactare,,"['maize', 'sorghum', 'tomatoes', 'sesame']",,4
173,1,1.0,1.0,hactare,,['maize'],,1
173,2,2.0,1.0,hactare,,"['rice', 'vegetable']",,2
174,1,1.0,1.0,hactare,,"['maize', 'sorghum']",,2
174,2,2.0,0.5,hactare,,"['maize', 'rice']",,2
175,1,1.0,0.5,hactare,,['rice'],,1
175,2,2.0,0.5,hactare,,['rice'],,1
175,3,3.0,2.5,hactare,,"['maize', 'sorghum']",,2
176,1,1.0,1.0,hactare,,['rice'],,1
176,2,2.0,1.0,hactare,,['rice'],,1
176,3,3.0,2.0,hactare,,"['maize', 'sorghum']",,2
177,1,1.0,0.5,hactare,,['rice'],,1
177,2,2.0,1.0,hactare,,"['maize', 'sesame']",,2
178,1,1.0,2.0,hactare,,['maize'],,1
178,2,2.0,1.5,hactare,,['maize'],,1
178,3,3.0,0.5,hactare,,['rice'],,1
179,1,2.0,1.0,hactare,,"['maize', 'sorghum']",,2
179,2,2.0,0.5,hactare,,['rice'],,1
180,1,1.0,4.0,hactare,,['maize'],,1
180,2,2.0,1.0,hactare,,['rice'],,1
181,1,1.0,3.0,hactare,,['maize'],,1
181,2,2.0,1.0,hactare,,['maize'],,1
